GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ScoreOverFlow,exception,DBConnectionException,4,0,0,0,2,0,1,0,1,0
ScoreOverFlow,security,SecurityService,15,77,1,3,4,21,2,3,1,2
ScoreOverFlow,security,SecureRealm,47,158,2,14,8,39,4,17,2,11
ScoreOverFlow,security,PasswordHashing,3,70,1,5,1,12,2,6,1,4
ScoreOverFlow,security,LoginStatus,0,15,0,0,0,6,0,3,0,3
ScoreOverFlow,dao,UserDao,3,32,0,0,2,8,0,3,0,3
ScoreOverFlow,dao,FacilityDao,3,23,0,0,2,5,0,3,0,3
ScoreOverFlow,dao,ReservationDao,47,18,0,0,12,5,2,2,2,2
ScoreOverFlow,dao,BaseDao,15,75,0,2,5,21,1,5,1,4
ScoreOverFlow,dao,RoomDao,62,92,0,0,13,18,1,4,1,4
ScoreOverFlow,ui,GuiUtils,15,85,0,2,4,19,3,6,3,5
ScoreOverFlow,ui,TablePanel.ButtonRenderer,3,6,0,0,1,2,1,1,1,1
ScoreOverFlow,ui,LoginPanel,7,265,1,5,1,56,2,7,1,5
ScoreOverFlow,ui,BasePanel,8,168,0,0,5,44,2,4,2,4
ScoreOverFlow,ui,TablePanel,0,105,0,4,0,24,0,5,0,3
ScoreOverFlow,ui,TablePanel.new DefaultTableModel() {...},10,11,2,0,1,1,2,1,1,1
ScoreOverFlow,ui,MainWindow.new Runnable() {...},41,0,0,0,12,0,2,0,2,0
ScoreOverFlow,ui,ReservePanel,300,727,33,17,68,162,25,15,5,10
ScoreOverFlow,ui,TablePanel.ButtonEditor,10,6,0,0,3,2,2,1,2,1
ScoreOverFlow,ui,MainPanel,6,101,1,3,0,21,3,3,2,2
ScoreOverFlow,ui,MainWindow,5,43,0,0,2,11,1,1,1,1
ScoreOverFlow,ui,ViewRoomsPanel,19,249,7,5,8,59,6,8,1,7
ScoreOverFlow,dao.factory,ReservationDaoFactory,9,13,0,2,3,5,1,2,1,1
ScoreOverFlow,dao.factory,DaoFactory,3,4,0,0,1,1,1,1,1,1
ScoreOverFlow,dao.factory,UserDaoFactory,9,13,0,2,3,5,1,2,1,1
ScoreOverFlow,dao.factory,FacilityDaoFactory,9,13,1,1,3,5,2,1,1,1
ScoreOverFlow,dao.factory,RoomDaoFactory,9,13,0,2,3,5,1,2,1,1
ScoreOverFlow,server.constraint,SearchReservationConstraint,0,14,0,0,0,6,0,3,0,3
ScoreOverFlow,server.constraint,SearchRoomConstraint,4,75,0,0,2,24,1,12,1,12
ScoreOverFlow,server.action,ReservationAction,72,38,4,0,17,10,6,4,4,4
ScoreOverFlow,server.action,UserAction,0,11,0,0,0,4,0,2,0,2
ScoreOverFlow,server.action,FacilityAction,0,10,0,0,0,4,0,2,0,2
ScoreOverFlow,server.action,RoomAction,5,16,0,0,1,5,1,3,1,3
ScoreOverFlow,email,EmailSender,6,76,0,6,3,18,1,4,1,1
ScoreOverFlow,email,EmailSender.new Authenticator() {...},0,17,0,0,0,2,0,2,0,2
ScoreOverFlow,entity,Facility,11,24,0,0,4,8,3,5,3,5
ScoreOverFlow,entity,Room,8,32,0,0,3,11,2,7,2,7
ScoreOverFlow,entity,User,0,51,0,0,0,19,0,13,0,13
ScoreOverFlow,entity,Reservation,0,67,0,0,0,25,0,17,0,17
ScoreOverFlow,entity,EntityUtils,3,25,0,0,1,9,1,1,1,1
